year,team,opponent,opponent_defensive_avg
2020,Sydney,Hawthorn,14.474747474747474
2020,Sydney,St Kilda,13.318181818181818
2020,Sydney,Collingwood,13.371702637889689
2020,Sydney,Port Adelaide,12.836363636363636
2020,Sydney,Melbourne,13.963636363636363
2020,Sydney,Carlton,12.876262626262626
2020,Sydney,Brisbane Lions,12.97841726618705
2020,Sydney,Geelong,12.783653846153847
2020,Sydney,Greater Western Sydney,12.903743315508022
2020,Sydney,Fremantle,13.33030303030303
2020,Sydney,Richmond,13.900990099009901
2020,West Coast,Melbourne,13.963636363636363
2020,West Coast,Gold Coast,13.975935828877006
2020,West Coast,Brisbane Lions,12.97841726618705
2020,West Coast,Port Adelaide,12.836363636363636
2020,West Coast,Sydney,13.50997150997151
2020,West Coast,Adelaide,13.943181818181818
2020,West Coast,Fremantle,13.33030303030303
2020,West Coast,Geelong,12.783653846153847
2020,West Coast,Carlton,12.876262626262626
2020,West Coast,Hawthorn,14.474747474747474
2020,West Coast,Greater Western Sydney,12.903743315508022
2020,West Coast,Richmond,13.900990099009901
2020,West Coast,Essendon,13.8125
2020,West Coast,Western Bulldogs,13.297727272727272
2020,West Coast,North Melbourne,13.970588235294118
2020,West Coast,Collingwood,13.371702637889689
2020,West Coast,St Kilda,13.318181818181818
2020,Western Bulldogs,Collingwood,13.371702637889689
2020,Western Bulldogs,St Kilda,13.318181818181818
2020,Western Bulldogs,Greater Western Sydney,12.903743315508022
2020,Western Bulldogs,Sydney,13.50997150997151
2020,Western Bulldogs,North Melbourne,13.970588235294118
2020,Western Bulldogs,Carlton,12.876262626262626
2020,Western Bulldogs,Essendon,13.8125
2020,Western Bulldogs,Gold Coast,13.975935828877006
2020,Western Bulldogs,Richmond,13.900990099009901
2020,Western Bulldogs,Port Adelaide,12.836363636363636
2020,Western Bulldogs,Brisbane Lions,12.97841726618705
2020,Western Bulldogs,Adelaide,13.943181818181818
2020,Western Bulldogs,Melbourne,13.963636363636363
2020,Western Bulldogs,Geelong,12.783653846153847
2020,Western Bulldogs,West Coast,13.91161616161616
2020,Western Bulldogs,Hawthorn,14.474747474747474
2020,Western Bulldogs,Fremantle,13.33030303030303
2021,Adelaide,Geelong,14.761092150170649
2021,Adelaide,Sydney,15.64079822616408
2021,Adelaide,Gold Coast,16.895555555555557
2021,Adelaide,North Melbourne,17.138702460850112
2021,Adelaide,Fremantle,17.07606263982103
2021,Adelaide,Greater Western Sydney,16.13013698630137
2021,Adelaide,Port Adelaide,15.736301369863014
2021,Adelaide,West Coast,16.92650334075724
2021,Adelaide,Melbourne,16.04642166344294
2021,Adelaide,Richmond,16.875717017208412
2021,Adelaide,St Kilda,16.842718446601943
2021,Adelaide,Carlton,16.34004024144869
2021,Adelaide,Brisbane Lions,15.689256198347108
2021,Adelaide,Essendon,16.216101694915253
2021,Adelaide,Hawthorn,16.583892617449663
2021,Adelaide,Western Bulldogs,15.99835255354201
2021,Adelaide,Collingwood,16.98068669527897
2021,Carlton,Fremantle,17.07606263982103
2021,Carlton,Gold Coast,16.895555555555557
2021,Carlton,Port Adelaide,15.736301369863014
2021,Carlton,Brisbane Lions,15.689256198347108
2021,Carlton,Essendon,16.216101694915253
2021,Carlton,Western Bulldogs,15.99835255354201
2021,Carlton,Melbourne,16.04642166344294
2021,Carlton,Hawthorn,16.583892617449663
2021,Carlton,Sydney,15.64079822616408
2021,Carlton,West Coast,16.92650334075724
2021,Carlton,Greater Western Sydney,16.13013698630137
2021,Carlton,Adelaide,16.09492273730684
2021,Carlton,Geelong,14.761092150170649
2021,Carlton,Collingwood,16.98068669527897
2021,Carlton,North Melbourne,17.138702460850112
2021,Carlton,Richmond,16.875717017208412
2021,Carlton,St Kilda,16.842718446601943
2021,Collingwood,Western Bulldogs,15.99835255354201
2021,Collingwood,Carlton,16.34004024144869
2021,Collingwood,Brisbane Lions,15.689256198347108
2021,Collingwood,Greater Western Sydney,16.13013698630137
2021,Collingwood,Port Adelaide,15.736301369863014
2021,Collingwood,Fremantle,17.07606263982103
2021,Collingwood,St Kilda,16.842718446601943
2021,Collingwood,Richmond,16.875717017208412
2021,Collingwood,West Coast,16.92650334075724
2021,Collingwood,Hawthorn,16.583892617449663
2021,Collingwood,Essendon,16.216101694915253
2021,Collingwood,Geelong,14.761092150170649
2021,Collingwood,Adelaide,16.09492273730684
2021,Collingwood,Melbourne,16.04642166344294
2021,Collingwood,Gold Coast,16.895555555555557
2021,Collingwood,North Melbourne,17.138702460850112
2021,Collingwood,Sydney,15.64079822616408
2021,Essendon,Richmond,16.875717017208412
2021,Essendon,Carlton,16.34004024144869
2021,Essendon,Hawthorn,16.583892617449663
2021,Essendon,Port Adelaide,15.736301369863014
2021,Essendon,Sydney,15.64079822616408
2021,Essendon,Western Bulldogs,15.99835255354201
2021,Essendon,Gold Coast,16.895555555555557
2021,Essendon,Collingwood,16.98068669527897
2021,Essendon,St Kilda,16.842718446601943
2021,Essendon,Brisbane Lions,15.689256198347108
2021,Essendon,Greater Western Sydney,16.13013698630137
2021,Essendon,Fremantle,17.07606263982103
2021,Essendon,North Melbourne,17.138702460850112
2021,Essendon,West Coast,16.92650334075724
2021,Essendon,Melbourne,16.04642166344294
2021,Essendon,Geelong,14.761092150170649
2021,Essendon,Adelaide,16.09492273730684
2021,Fremantle,Melbourne,16.04642166344294
2021,Fremantle,Greater Western Sydney,16.13013698630137
2021,Fremantle,Carlton,16.34004024144869
2021,Fremantle,Hawthorn,16.583892617449663
2021,Fremantle,Adelaide,16.09492273730684
2021,Fremantle,North Melbourne,17.138702460850112
2021,Fremantle,West Coast,16.92650334075724
2021,Fremantle,Brisbane Lions,15.689256198347108
2021,Fremantle,Essendon,16.216101694915253
2021,Fremantle,Sydney,15.64079822616408
